НТД.ID,НТД_1.ID,Дата_регистрации,Корреспондент,Часть_проекта,Ndog,Наименование документа,krat_neim,Obekt,Блок,Стадия_проекта,NAME,Шифр (обозначение документа),Инв_№разраб_пр
23587,23746,26.01.2012,ОМиР,Э,,"Исполнительная документация по мероприятию: ""Замена воздушного выключателя В-31 ОРУ-750/330кВ на элегазовые GL318""",,ОРУ-750,0,И,"Ведомость деталей, изделий, приборов",08.02.84.003.КЖ01.000200,"02-85с, изм.1"
23587,23747,26.01.2012,ОМиР,Э,,"Исполнительная документация по мероприятию: ""Замена воздушного выключателя В-31 ОРУ-750/330кВ на элегазовые GL318""",,ОРУ-750,0,И,"Ведомость деталей, изделий, приборов",08.02.84.003.КЖ01.000300,02-86с
23748,23749,18.09.2012,ОМиР,,,"Исполнительная документация по мероприятию: ""Модификация схем питания панелей КИП КСБ №1,2,3 ППР-12 на энергоблоке №2""",,блок 2,2,И,Исполнительная документация,,
23748,23750,18.09.2012,ОМиР,,,"Исполнительная документация по мероприятию: ""Модификация схем питания панелей КИП КСБ №1,2,3 ППР-12 на энергоблоке №2""",,блок 2,2,И,Чертеж,2715.У7674.00.00 ЭС,
23751,23752,18.09.2012,ОМиР,,,"Исполнительная документация по мероприятию ""Модернизация машины перегрузочной МПС-1000 на блоке №2 шифр R-add-01""",,блок 2,2,И,Исполнительная документация,,
23753,23754,18.09.2012,ОМиР,,,"Исполнительная документация по мероприятию: ""Проведение испытаний и опытная эксплуатация системы технического водоснабжения ответственных потребителей (группы ""А"") с отключенными баками 2VF10B01, 2VF20B01, 2VF30B01""",,блок 2,2,И,Исполнительная документация,,
23755,23756,18.09.2012,ОМиР,Т,,"Исполнительная документация по мероприятию: ""Монтаж дополнительных опор на трубопроводах системы технической воды ответственных потребителей группы ""А"" (трубопроводах охлаждающей воды кондиционеров 2TL11D01, 2TL11D02, 2TL11D03""",,РО,2,И,Исполнительная документация,,
23755,23757,18.09.2012,ОМиР,Т,,"Исполнительная документация по мероприятию: ""Монтаж дополнительных опор на трубопроводах системы технической воды ответственных потребителей группы ""А"" (трубопроводах охлаждающей воды кондиционеров 2TL11D01, 2TL11D02, 2TL11D03""",,РО,2,И,Чертеж,ГАН-5274/ТМО,68т
23758,23759,18.09.2012,ОМиР,Э,,"Исполнительная документация по мероприятию ""Замена кабельных герметических проходок ВГУ на проходки ""Элокс"" в цепях питания электронагревательных блоков №1,2,4,7,10,11,12,13,14,16,21,23 компенасатора давления энергоблока №2""",,РО,2,И,Исполнительная документация,,
23758,23760,18.09.2012,ОМиР,Э,,"Исполнительная документация по мероприятию ""Замена кабельных герметических проходок ВГУ на проходки ""Элокс"" в цепях питания электронагревательных блоков №1,2,4,7,10,11,12,13,14,16,21,23 компенасатора давления энергоблока №2""",,РО,2,И,Чертеж,43-202.207.001.ЭС01,"143324э, изм.1"
23758,23761,18.09.2012,ОМиР,Э,,"Исполнительная документация по мероприятию ""Замена кабельных герметических проходок ВГУ на проходки ""Элокс"" в цепях питания электронагревательных блоков №1,2,4,7,10,11,12,13,14,16,21,23 компенасатора давления энергоблока №2""",,РО,2,И,Спецификация оборудования (в составе документации на автоматизированные системы),43-202.207.001.ЭС01.С,"143325э, изм.1"
23758,23762,18.09.2012,ОМиР,Э,,"Исполнительная документация по мероприятию ""Замена кабельных герметических проходок ВГУ на проходки ""Элокс"" в цепях питания электронагревательных блоков №1,2,4,7,10,11,12,13,14,16,21,23 компенасатора давления энергоблока №2""",,РО,2,И,Записка,43-202.207.001.ЭС01.ПЗ,"143326э, изм.1"
23763,23767,21.09.2012,ОМиР,Э,,"Исполнительная документация по мероприятию: ""Замена герметичных кабельных проходок типа ПГКК на проходки ""ЭЛОКС""""",,РО,2,И,Исполнительная документация,,
23763,23768,21.09.2012,ОМиР,Э,,"Исполнительная документация по мероприятию: ""Замена герметичных кабельных проходок типа ПГКК на проходки ""ЭЛОКС""""",,РО,2,И,Чертеж,210006.0473123.40002.00.ЭТ.06,"99176э, изм. 16ГАН"
23763,23769,21.09.2012,ОМиР,Э,,"Исполнительная документация по мероприятию: ""Замена герметичных кабельных проходок типа ПГКК на проходки ""ЭЛОКС""""",,РО,2,И,Чертеж,43-324.209.001.АТ01,"139206к, изм. 2ГАН"
23764,23770,21.09.2012,ОМиР,СБ,,"Исполнительная документация по мероприятиям:""Организация точки запитки аварийных мобильных агрегатов. Обеспечение подпитки ПГ в условиях длительного полного обесточения АЭС (частичное выполнение)""",,блок 2,2,И,Исполнительная документация,,
23764,23771,21.09.2012,ОМиР,СБ,,"Исполнительная документация по мероприятиям:""Организация точки запитки аварийных мобильных агрегатов. Обеспечение подпитки ПГ в условиях длительного полного обесточения АЭС (частичное выполнение)""",,блок 2,2,И,Чертеж,2715.У5819.00.00 СБ,64-01-4419
23764,23772,21.09.2012,ОМиР,СБ,,"Исполнительная документация по мероприятиям:""Организация точки запитки аварийных мобильных агрегатов. Обеспечение подпитки ПГ в условиях длительного полного обесточения АЭС (частичное выполнение)""",,блок 2,2,И,Чертеж,2715.У7626.00.00 МЧ,
23765,23773,21.09.2012,ОМиР,,,"Исполнительная документация по мероприятию: ""Реализация функции ограничения верхнего уровня регулирующей группы ОР СУЗ в ПТК СГИУ на энергоблоке №2 ОП ХАЭС""",,блок 2,2,И,Исполнительная документация,,
23766,23774,21.09.2012,ОМиР,,,"Исполнительная документация по мероприятию: ""Замена воздушного выключателя В-32 ОРУ-750/330 кВ на элегазовый GL318""",,блок 2,2,И,Исполнительная документация,,
23775,23776,19.10.2012,ОМиР,К,,"Исполнительная документация по мероприятию: ""Замена входного сигнала YP10T02 на YP10T01 на энергоблоке №2 ОП АЭС""",,РО,2,И,Исполнительная документация,,
23775,23777,19.10.2012,ОМиР,К,,"Исполнительная документация по мероприятию: ""Замена входного сигнала YP10T02 на YP10T01 на энергоблоке №2 ОП АЭС""",,РО,2,И,Чертеж,43-205.209.001.АТ01,"143327к, изм.1ГАН"
23775,23778,19.10.2012,ОМиР,К,,"Исполнительная документация по мероприятию: ""Замена входного сигнала YP10T02 на YP10T01 на энергоблоке №2 ОП АЭС""",,РО,2,И,Спецификация оборудования (в составе документации на автоматизированные системы),43-205.209.001.АТ01.С,143328к
23775,23779,19.10.2012,ОМиР,К,,"Исполнительная документация по мероприятию: ""Замена входного сигнала YP10T02 на YP10T01 на энергоблоке №2 ОП АЭС""",,РО,2,И,Записка,43-205.209.001.АТ01.ПЗ,143329к
23763,23780,21.09.2012,ОМиР,Э,,"Исполнительная документация по мероприятию: ""Замена герметичных кабельных проходок типа ПГКК на проходки ""ЭЛОКС""""",,РО,2,И,Спецификация оборудования (в составе документации на автоматизированные системы),210006.0473123.40002.00.ЭТ.06.С,"139226э, изм.14ГАН"
23763,23781,21.09.2012,ОМиР,Э,,"Исполнительная документация по мероприятию: ""Замена герметичных кабельных проходок типа ПГКК на проходки ""ЭЛОКС""""",,РО,2,И,Записка,10006.0473123.40002.00.ЭТ.06.ПЗ,"139227э, изм. 13ГАН"
23782,23788,29.10.2012,УКС,К,,ГК. Турбинное и деаэраторное отделения. КИП и А турбоагрегата. Схемы функциональные,,ТО,2,И,Чертеж,210006.0455035.00204.000.АТ.01,"110197к, изм. 20ГАН"
